#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MAML3	NOTCH1	9606.ENSP00000421180	9606.ENSP00000498587	0	0.329	0.800	0	0.860
MFNG	RFNG	9606.ENSP00000349490	9606.ENSP00000307971	0	0	0.900	0	0.900
NCOR2	RBPJ	9606.ENSP00000384018	9606.ENSP00000345206	0	0.457	0.500	0	0.716
NCOR2	SNW1	9606.ENSP00000384018	9606.ENSP00000451129	0	0.457	0.500	0	0.716
NCSTN	NOTCH1	9606.ENSP00000294785	9606.ENSP00000498587	0	0.900	0	0	0.900
NCSTN	PSEN1	9606.ENSP00000294785	9606.ENSP00000326366	0	0.974	0.900	0	0.997
NCSTN	PSEN2	9606.ENSP00000294785	9606.ENSP00000355747	0	0.974	0.800	0	0.994
NCSTN	PSENEN	9606.ENSP00000294785	9606.ENSP00000468411	0	0.956	0.900	0	0.995
NOTCH1	NOTCH2	9606.ENSP00000498587	9606.ENSP00000256646	0	0.095	0.900	0	0.905
NOTCH1	PSEN1	9606.ENSP00000498587	9606.ENSP00000326366	0	0.946	0	0	0.946
NOTCH1	RBPJL	9606.ENSP00000498587	9606.ENSP00000341243	0	0	0.800	0	0.800
NOTCH1	RBPJ	9606.ENSP00000498587	9606.ENSP00000345206	0	0.952	0.900	0	0.994
NOTCH1	NRARP	9606.ENSP00000498587	9606.ENSP00000349041	0	0.900	0	0	0.900
NOTCH1	SNW1	9606.ENSP00000498587	9606.ENSP00000451129	0	0.457	0.800	0	0.886
NOTCH1	NUMB	9606.ENSP00000498587	9606.ENSP00000451300	0	0.457	0.500	0	0.716
NOTCH1	PSENEN	9606.ENSP00000498587	9606.ENSP00000468411	0	0.800	0	0	0.800
NOTCH2	RBPJL	9606.ENSP00000256646	9606.ENSP00000341243	0	0.132	0.800	0	0.818
NOTCH2	RBPJ	9606.ENSP00000256646	9606.ENSP00000345206	0	0.546	0.800	0	0.905
NOTCH3	RBPJL	9606.ENSP00000263388	9606.ENSP00000341243	0	0.132	0.800	0	0.818
NOTCH3	RBPJ	9606.ENSP00000263388	9606.ENSP00000345206	0	0.659	0.800	0	0.929
NOTCH4	RBPJL	9606.ENSP00000364163	9606.ENSP00000341243	0	0	0.800	0	0.800
NOTCH4	RBPJ	9606.ENSP00000364163	9606.ENSP00000345206	0	0	0.800	0	0.800
NRARP	RBPJ	9606.ENSP00000349041	9606.ENSP00000345206	0	0.900	0	0	0.900
NUMB	NUMBL	9606.ENSP00000451300	9606.ENSP00000252891	0	0.610	0.900	0	0.959
PSEN1	PSEN2	9606.ENSP00000326366	9606.ENSP00000355747	0	0.734	0.900	0	0.972
PSEN1	PSENEN	9606.ENSP00000326366	9606.ENSP00000468411	0	0.972	0.900	0	0.997
PSEN2	PSENEN	9606.ENSP00000355747	9606.ENSP00000468411	0	0.972	0.800	0	0.994
RBPJ	RBPJL	9606.ENSP00000345206	9606.ENSP00000341243	0	0	0.900	0	0.900
RBPJ	SNW1	9606.ENSP00000345206	9606.ENSP00000451129	0	0.457	0.900	0	0.943
RBPJL	SNW1	9606.ENSP00000341243	9606.ENSP00000451129	0	0	0.900	0	0.900
TLE1	TLE2	9606.ENSP00000365682	9606.ENSP00000466542	0	0.634	0.500	0	0.809
TLE1	TLE4	9606.ENSP00000365682	9606.ENSP00000365720	0	0.671	0.900	0	0.965
TLE1	TLE3	9606.ENSP00000365682	9606.ENSP00000452871	0	0.652	0.900	0	0.963
TLE2	TLE4	9606.ENSP00000466542	9606.ENSP00000365720	0	0.660	0.500	0	0.822
TLE2	TLE3	9606.ENSP00000466542	9606.ENSP00000452871	0	0.652	0.500	0	0.818
TLE3	TLE4	9606.ENSP00000452871	9606.ENSP00000365720	0	0.618	0.900	0	0.960
