"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"IGF1R","m = 0.58593 
 p = 69.19039","m = 0.51148 
 p = 67.17372","m = 0.33623 
 p = 39.56756","m = 0.13155 
 p = 15.12110","m = 0.27467 
 p = 34.28571","m = 0.11266 
 p = 12.36890","m = 0.25317 
 p = 33.68023","m = 0.31273 
 p = 33.20749","m = 0.15771 
 p = 29.08461","m = 0.11916 
 p = 16.81834","m = 0.06733 
 p = 7.40310","m = 0.08352 
 p = 8.09498"
"SOS1","m = 0.27205 
 p = 47.13685","m = 0.31146 
 p = 51.33973","m = 0.21335 
 p = 28.59368","m = 0.18903 
 p = 23.83484","m = 0.22990 
 p = 31.66023","m = 0.15471 
 p = 17.15507","m = 0.19733 
 p = 30.17975","m = 0.20195 
 p = 23.99577","m = 0.59442 
 p = 73.54656","m = 0.21293 
 p = 30.08789","m = 0.27943 
 p = 27.56199","m = 0.14231 
 p = 13.76147"
"PXN","m = 0.08678 
 p = 20.64865","m = 0.06190 
 p = 13.96046","m = 0.09705 
 p = 14.71587","m = 0.21691 
 p = 28.63237","m = 0.25682 
 p = 35.59846","m = 0.02616 
 p = 3.34248","m = 0.08562 
 p = 17.12394","m = 0.07685 
 p = 10.41981","m = 0.05901 
 p = 15.26706","m = 0.11477 
 p = 18.73955","m = 0.13167 
 p = 16.15039","m = 0.10102 
 p = 9.98381"
"ITGB3","m = 0.03794 
 p = 10.99954","m = 0.00201 
 p = 0.62556","m = 0.02995 
 p = 5.06465","m = 0.01088 
 p = 1.79917","m = 0.03791 
 p = 6.56371","m = 0.01004 
 p = 1.43413","m = 0.02055 
 p = 5.67644","m = 0.00611 
 p = 1.44971","m = 0.01923 
 p = 4.39578","m = 0.01028 
 p = 1.68981","m = 0.00111 
 p = 0.19661","m = 0.00986 
 p = 1.07933"
"PARVB","m = 0.12836 
 p = 27.81904","m = 0.19457 
 p = 36.60584","m = 0.07756 
 p = 12.16254","m = 0.17229 
 p = 23.88198","m = 0.13029 
 p = 20.77220","m = 0.03082 
 p = 3.96394","m = 0.05944 
 p = 13.71807","m = 0.06284 
 p = 8.72848","m = 0.13536 
 p = 29.54152","m = 0.15731 
 p = 24.53039","m = 0.04641 
 p = 6.11107","m = 0.28552 
 p = 26.92930"
"ACTN1","m = 0.30382 
 p = 49.21479","m = 0.15341 
 p = 29.54433","m = 0.16511 
 p = 22.63735","m = 0.23174 
 p = 29.09091","m = 0.41116 
 p = 52.04633","m = 0.18276 
 p = 20.97272","m = 0.21326 
 p = 35.28855","m = 0.06688 
 p = 9.16641","m = 0.37958 
 p = 55.85316","m = 0.10842 
 p = 18.12507","m = 0.01670 
 p = 2.51986","m = 0.01066 
 p = 1.07933"
"RHOA","m = 0.06506 
 p = 15.73479","m = 0.08778 
 p = 18.99900","m = 0.18236 
 p = 25.95125","m = 0.45532 
 p = 51.28474","m = 0.28980 
 p = 39.61390","m = 0.18568 
 p = 22.34184","m = 0.19774 
 p = 34.72091","m = 0.17643 
 p = 21.63999","m = 0.19669 
 p = 39.16811","m = 0.39473 
 p = 50.32085","m = 0.25983 
 p = 31.20135","m = 0.09547 
 p = 9.55208"
"ACTG1","m = 0.30909 
 p = 48.00157","m = 0.36112 
 p = 56.52824","m = 0.28142 
 p = 34.16609","m = 0.75133 
 p = 62.16189","m = 0.30581 
 p = 36.06178","m = 0.37805 
 p = 36.48045","m = 0.51624 
 p = 55.91296","m = 0.26002 
 p = 28.20900","m = 0.10109 
 p = 21.41169","m = 0.42236 
 p = 44.72835","m = 0.55405 
 p = 48.70797","m = 0.03330 
 p = 3.34593"
"CRK","m = 0.08130 
 p = 19.38098","m = 0.10610 
 p = 22.60920","m = 0.09177 
 p = 14.58766","m = 0.15080 
 p = 21.91856","m = 0.12412 
 p = 19.61390","m = 0.09248 
 p = 11.76083","m = 0.09404 
 p = 20.43519","m = 0.08925 
 p = 12.05074","m = 0.22627 
 p = 42.83914","m = 0.15160 
 p = 24.41567","m = 0.05853 
 p = 7.55557","m = 0.07469 
 p = 7.44738"
"FLNA","m = 0.15224 
 p = 29.82510","m = 0.11755 
 p = 24.67673","m = 0.11602 
 p = 17.61399","m = 0.14973 
 p = 21.18475","m = 0.14268 
 p = 22.23938","m = 0.27176 
 p = 29.20846","m = 0.14544 
 p = 27.43614","m = 0.11124 
 p = 14.58774","m = 0.08892 
 p = 19.26895","m = 0.15889 
 p = 24.60040","m = 0.17511 
 p = 21.49506","m = 0.01679 
 p = 1.83486"
"ITGAV","m = 0.22591 
 p = 41.63490","m = 0.30771 
 p = 51.23014","m = 0.17918 
 p = 24.59020","m = 0.12723 
 p = 17.04802","m = 0.19913 
 p = 27.41313","m = 0.05451 
 p = 7.15631","m = 0.13751 
 p = 22.42195","m = 0.21722 
 p = 25.61160","m = 0.19558 
 p = 36.80479","m = 0.12475 
 p = 19.77404","m = 0.03833 
 p = 4.93540","m = 0.07098 
 p = 7.06962"
