"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"WASF1","m = 0.01077 
 p = 2.75097","m = 0.00746 
 p = 1.75712","m = 0.06104 
 p = 9.73380","m = 0.00428 
 p = 0.67070","m = 0.04178 
 p = 6.25483","m = 0.01216 
 p = 1.52018","m = 0.05694 
 p = 12.67739","m = 0.03456 
 p = 4.63606","m = 0.05078 
 p = 13.02978","m = 0.01667 
 p = 2.95570","m = 0.00382 
 p = 0.55373","m = 0.00650 
 p = 0.64760"
"SOS1","m = 0.27205 
 p = 47.13685","m = 0.31146 
 p = 51.33973","m = 0.21335 
 p = 28.59368","m = 0.18903 
 p = 23.83484","m = 0.22990 
 p = 31.66023","m = 0.15471 
 p = 17.15507","m = 0.19733 
 p = 30.17975","m = 0.20195 
 p = 23.99577","m = 0.59442 
 p = 73.54656","m = 0.21293 
 p = 30.08789","m = 0.27943 
 p = 27.56199","m = 0.14231 
 p = 13.76147"
"PXN","m = 0.08678 
 p = 20.64865","m = 0.06190 
 p = 13.96046","m = 0.09705 
 p = 14.71587","m = 0.21691 
 p = 28.63237","m = 0.25682 
 p = 35.59846","m = 0.02616 
 p = 3.34248","m = 0.08562 
 p = 17.12394","m = 0.07685 
 p = 10.41981","m = 0.05901 
 p = 15.26706","m = 0.11477 
 p = 18.73955","m = 0.13167 
 p = 16.15039","m = 0.10102 
 p = 9.98381"
"ITGB3","m = 0.03794 
 p = 10.99954","m = 0.00201 
 p = 0.62556","m = 0.02995 
 p = 5.06465","m = 0.01088 
 p = 1.79917","m = 0.03791 
 p = 6.56371","m = 0.01004 
 p = 1.43413","m = 0.02055 
 p = 5.67644","m = 0.00611 
 p = 1.44971","m = 0.01923 
 p = 4.39578","m = 0.01028 
 p = 1.68981","m = 0.00111 
 p = 0.19661","m = 0.00986 
 p = 1.07933"
"BAIAP2","m = 0.05353 
 p = 13.64161","m = 0.03160 
 p = 7.87164","m = 0.01174 
 p = 2.25055","m = 0.04460 
 p = 6.89479","m = 0.06214 
 p = 10.34749","m = 0.00219 
 p = 0.36427","m = 0.07548 
 p = 15.89404","m = 0.03874 
 p = 5.49683","m = 0.01670 
 p = 4.69513","m = 0.04298 
 p = 7.84428","m = 0.00592 
 p = 0.97103","m = 0.00561 
 p = 0.59363"
"FGFR1","m = 0.18316 
 p = 35.23774","m = 0.19663 
 p = 37.05784","m = 0.33987 
 p = 41.52186","m = 0.14026 
 p = 19.59697","m = 0.12325 
 p = 19.45946","m = 0.04472 
 p = 6.08454","m = 0.17203 
 p = 28.38221","m = 0.10274 
 p = 13.80248","m = 0.30820 
 p = 51.58343","m = 0.09175 
 p = 14.73574","m = 0.02025 
 p = 2.92513","m = 0.05047 
 p = 5.18079"
"ACTN1","m = 0.30382 
 p = 49.21479","m = 0.15341 
 p = 29.54433","m = 0.16511 
 p = 22.63735","m = 0.23174 
 p = 29.09091","m = 0.41116 
 p = 52.04633","m = 0.18276 
 p = 20.97272","m = 0.21326 
 p = 35.28855","m = 0.06688 
 p = 9.16641","m = 0.37958 
 p = 55.85316","m = 0.10842 
 p = 18.12507","m = 0.01670 
 p = 2.51986","m = 0.01066 
 p = 1.07933"
"CYFIP1","m = 0.07165 
 p = 17.71035","m = 0.06960 
 p = 15.65938","m = 0.11040 
 p = 16.90196","m = 0.16039 
 p = 22.35656","m = 0.18576 
 p = 28.49421","m = 0.12129 
 p = 14.70749","m = 0.11058 
 p = 22.70577","m = 0.10628 
 p = 14.16490","m = 0.14688 
 p = 32.72412","m = 0.25045 
 p = 36.43293","m = 0.01842 
 p = 2.55196","m = 0.05230 
 p = 5.34269"
"IQGAP1","m = 0.09613 
 p = 22.61550","m = 0.13424 
 p = 27.71853","m = 0.22821 
 p = 31.33316","m = 0.23954 
 p = 31.80031","m = 0.24084 
 p = 34.28571","m = 0.18206 
 p = 21.64676","m = 0.23075 
 p = 37.55913","m = 0.22665 
 p = 27.37844","m = 0.21370 
 p = 42.53978","m = 0.51915 
 p = 61.18695","m = 0.30930 
 p = 34.70829","m = 0.32504 
 p = 30.49110"
"RHOA","m = 0.06506 
 p = 15.73479","m = 0.08778 
 p = 18.99900","m = 0.18236 
 p = 25.95125","m = 0.45532 
 p = 51.28474","m = 0.28980 
 p = 39.61390","m = 0.18568 
 p = 22.34184","m = 0.19774 
 p = 34.72091","m = 0.17643 
 p = 21.63999","m = 0.19669 
 p = 39.16811","m = 0.39473 
 p = 50.32085","m = 0.25983 
 p = 31.20135","m = 0.09547 
 p = 9.55208"
"ACTG1","m = 0.30909 
 p = 48.00157","m = 0.36112 
 p = 56.52824","m = 0.28142 
 p = 34.16609","m = 0.75133 
 p = 62.16189","m = 0.30581 
 p = 36.06178","m = 0.37805 
 p = 36.48045","m = 0.51624 
 p = 55.91296","m = 0.26002 
 p = 28.20900","m = 0.10109 
 p = 21.41169","m = 0.42236 
 p = 44.72835","m = 0.55405 
 p = 48.70797","m = 0.03330 
 p = 3.34593"
"DOCK1","m = 0.12736 
 p = 27.49014","m = 0.11179 
 p = 23.23266","m = 0.36276 
 p = 43.89700","m = 0.25372 
 p = 28.92742","m = 0.40944 
 p = 48.18533","m = 0.21464 
 p = 23.43465","m = 0.16704 
 p = 25.73321","m = 0.22658 
 p = 26.94050","m = 0.30379 
 p = 52.70206","m = 0.17966 
 p = 25.17015","m = 0.00872 
 p = 1.22382","m = 0.03254 
 p = 3.23799"
"ARHGEF7","m = 0.17268 
 p = 35.69297","m = 0.15721 
 p = 31.59299","m = 0.14824 
 p = 21.96733","m = 0.15699 
 p = 20.12775","m = 0.25836 
 p = 34.36293","m = 0.38335 
 p = 38.72630","m = 0.12799 
 p = 22.32734","m = 0.17252 
 p = 21.30776","m = 0.29253 
 p = 52.29242","m = 0.15589 
 p = 24.51873","m = 0.12701 
 p = 14.70989","m = 0.11219 
 p = 11.17107"
