"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"GNAQ","m = 0.00518 
 p = 1.80567","m = 0.00616 
 p = 2.05023","m = 0.19246 
 p = 36.26960","m = 0.23446 
 p = 40.10418","m = 0.22588 
 p = 41.23552","m = 0.10118 
 p = 17.04129","m = 0.15431 
 p = 34.91012","m = 0.13435 
 p = 24.16188","m = 0.25770 
 p = 60.42225","m = 0.42738 
 p = 62.50729","m = 0.08019 
 p = 13.00859","m = 0.43162 
 p = 55.31570"
"CALM2","m = 0.05501 
 p = 19.37880","m = 0.03600 
 p = 12.30559","m = 0.08330 
 p = 18.81931","m = 0.30539 
 p = 48.91145","m = 0.15965 
 p = 31.73745","m = 0.18188 
 p = 24.02073","m = 0.14818 
 p = 27.53075","m = 0.16465 
 p = 24.47901","m = 0.05748 
 p = 18.46542","m = 0.23042 
 p = 40.82954","m = 0.19676 
 p = 33.46040","m = 0.01764 
 p = 2.86023"
"ATP1A1","m = 0.09356 
 p = 28.05864","m = 0.11201 
 p = 32.03817","m = 0.14661 
 p = 29.40060","m = 0.19885 
 p = 36.75221","m = 0.07048 
 p = 17.91506","m = 0.02956 
 p = 6.41821","m = 0.21428 
 p = 47.39830","m = 0.06041 
 p = 12.29236","m = 0.08763 
 p = 27.16244","m = 0.09124 
 p = 22.59557","m = 0.08491 
 p = 16.32694","m = 0.01994 
 p = 3.23799"
"SRF","m = 0.02142 
 p = 8.72776","m = 0.01176 
 p = 4.50579","m = 0.01156 
 p = 3.20669","m = 0.01092 
 p = 3.02574","m = 0.00767 
 p = 2.16216","m = 0.00985 
 p = 2.26593","m = 0.01365 
 p = 6.43330","m = 0.00810 
 p = 2.11416","m = 0.00906 
 p = 4.03340","m = 0.00964 
 p = 3.02376","m = 0.00667 
 p = 1.48062","m = 0.00259 
 p = 0.43173"
"NFATC2","m = 0.07767 
 p = 25.55815","m = 0.02529 
 p = 8.99638","m = 0.02079 
 p = 4.44823","m = 0.01828 
 p = 3.94510","m = 0.06297 
 p = 12.58687","m = 0.00284 
 p = 0.56505","m = 0.06657 
 p = 15.23179","m = 0.11450 
 p = 18.48384","m = 0.01675 
 p = 6.09737","m = 0.07272 
 p = 16.10664","m = 0.11990 
 p = 20.60429","m = 0.10753 
 p = 15.75823"
"AKT1","m = 0.01522 
 p = 6.21420","m = 0.01754 
 p = 6.29175","m = 0.01989 
 p = 5.32324","m = 0.03927 
 p = 9.81408","m = 0.02789 
 p = 8.57143","m = 0.02130 
 p = 4.58922","m = 0.01869 
 p = 7.85241","m = 0.01950 
 p = 4.39444","m = 0.04866 
 p = 17.39404","m = 0.03540 
 p = 9.87633","m = 0.02303 
 p = 4.85916","m = 0.01308 
 p = 2.05073"
"GNAI3","m = 0.08032 
 p = 27.28540","m = 0.08966 
 p = 28.42536","m = 0.05914 
 p = 14.22187","m = 0.08727 
 p = 19.88974","m = 0.07416 
 p = 17.99228","m = 0.05778 
 p = 11.41090","m = 0.05750 
 p = 19.39451","m = 0.04962 
 p = 10.60103","m = 0.07247 
 p = 25.91776","m = 0.14452 
 p = 33.75141","m = 0.07228 
 p = 14.40093","m = 0.05408 
 p = 8.14895"
"PPP3CA","m = 0.07353 
 p = 21.88147","m = 0.08887 
 p = 26.13602","m = 0.25791 
 p = 44.09547","m = 0.18805 
 p = 33.51660","m = 0.32697 
 p = 54.98069","m = 0.07473 
 p = 12.60696","m = 0.18772 
 p = 38.12677","m = 0.17023 
 p = 28.99426","m = 0.35827 
 p = 70.22215","m = 0.25439 
 p = 44.97919","m = 0.20449 
 p = 31.34580","m = 0.40594 
 p = 51.96978"
"CACNA1S","m = 0.00069 
 p = 0.22217","m = 0.00044 
 p = 0.14892","m = 0.00056 
 p = 0.13256","m = 0.00024 
 p = 0.04791","m = 0.00090 
 p = 0.15444","m = 0.00054 
 p = 0.09370","m = 0.00034 
 p = 0.09461","m = 0.00032 
 p = 0.06040","m = 0.00061 
 p = 0.22058","m = 0.00027 
 p = 0.07584","m = 0.00023 
 p = 0.04414","m = 0.00082 
 p = 0.10793"
"MEF2B","m = 0.00380 
 p = 2.08447","m = 0.00178 
 p = 0.91972","m = 0.00852 
 p = 2.61780","m = 0.00226 
 p = 0.56804","m = 0.00603 
 p = 1.46718","m = 0.00234 
 p = 0.50768","m = 0.00278 
 p = 2.36518","m = 0.00538 
 p = 1.34400","m = 0.00889 
 p = 3.43469","m = 0.00841 
 p = 2.49874","m = 0.00456 
 p = 0.94695","m = 0.00398 
 p = 0.53967"
"MEF2A","m = 0.43573 
 p = 75.21945","m = 0.44920 
 p = 79.60516","m = 0.17475 
 p = 33.78291","m = 0.26203 
 p = 42.46074","m = 0.25843 
 p = 45.94595","m = 0.17189 
 p = 27.87376","m = 0.22590 
 p = 45.69536","m = 0.20359 
 p = 33.19239","m = 0.24197 
 p = 58.56310","m = 0.36846 
 p = 56.94201","m = 0.09341 
 p = 15.66086","m = 0.14005 
 p = 20.12952"
"NFATC3","m = 0.10473 
 p = 32.84398","m = 0.10535 
 p = 31.66116","m = 0.08143 
 p = 18.06744","m = 0.05271 
 p = 11.32657","m = 0.13096 
 p = 27.33591","m = 0.06660 
 p = 11.51894","m = 0.06367 
 p = 18.54305","m = 0.08064 
 p = 15.59952","m = 0.15353 
 p = 43.91051","m = 0.12263 
 p = 27.51138","m = 0.14737 
 p = 24.76928","m = 0.18277 
 p = 25.79601"
"ATP1B3","m = 0.03484 
 p = 13.28658","m = 0.03630 
 p = 11.80064","m = 0.15516 
 p = 28.99569","m = 0.17251 
 p = 33.57819","m = 0.16245 
 p = 34.51737","m = 0.20260 
 p = 29.55838","m = 0.13392 
 p = 34.05866","m = 0.06228 
 p = 12.42827","m = 0.21222 
 p = 50.49630","m = 0.20755 
 p = 40.40563","m = 0.10796 
 p = 19.85796","m = 0.05850 
 p = 7.98705"
"PPP3CC","m = 0.19815 
 p = 51.01610","m = 0.21731 
 p = 54.43343","m = 0.12916 
 p = 26.43149","m = 0.11520 
 p = 21.24710","m = 0.16638 
 p = 33.05019","m = 0.12050 
 p = 20.27287","m = 0.09334 
 p = 23.55724","m = 0.12990 
 p = 23.37662","m = 0.13766 
 p = 40.39704","m = 0.09917 
 p = 23.15171","m = 0.14168 
 p = 24.27173","m = 0.09404 
 p = 13.65353"
"MEF2D","m = 0.06544 
 p = 23.69149","m = 0.06409 
 p = 21.32662","m = 0.03623 
 p = 8.81388","m = 0.02289 
 p = 5.62564","m = 0.03853 
 p = 9.18919","m = 0.06773 
 p = 12.63278","m = 0.02964 
 p = 10.97446","m = 0.04788 
 p = 10.07249","m = 0.02988 
 p = 12.54136","m = 0.04735 
 p = 12.81647","m = 0.03950 
 p = 7.92874","m = 0.02996 
 p = 4.47922"
"PPP3CB","m = 0.12262 
 p = 37.31132","m = 0.13239 
 p = 38.05516","m = 0.13143 
 p = 28.07722","m = 0.05311 
 p = 11.33797","m = 0.09043 
 p = 20.84942","m = 0.10184 
 p = 17.87118","m = 0.06852 
 p = 21.09745","m = 0.11582 
 p = 22.10812","m = 0.16033 
 p = 46.55743","m = 0.08694 
 p = 21.25190","m = 0.07623 
 p = 13.55028","m = 0.16694 
 p = 23.79924"
"CREB1","m = 0.10186 
 p = 32.16005","m = 0.12557 
 p = 35.98763","m = 0.07824 
 p = 17.53866","m = 0.08249 
 p = 17.70883","m = 0.09574 
 p = 21.23552","m = 0.06626 
 p = 12.09068","m = 0.06043 
 p = 18.54305","m = 0.07809 
 p = 15.50891","m = 0.11369 
 p = 36.06428","m = 0.11234 
 p = 25.79823","m = 0.07948 
 p = 14.25247","m = 0.09843 
 p = 14.35510"
