"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"SRC","m = 0.01089 
 p = 3.24977","m = 0.00427 
 p = 1.00834","m = 0.03270 
 p = 5.85491","m = 0.00136 
 p = 0.25094","m = 0.01120 
 p = 1.77606","m = 0.02416 
 p = 3.06043","m = 0.01973 
 p = 6.90634","m = 0.04530 
 p = 6.13108","m = 0.02558 
 p = 7.62565","m = 0.03004 
 p = 5.62750","m = 0.00380 
 p = 0.69015","m = 0.00380 
 p = 0.43173"
"ITGA5","m = 0.05284 
 p = 13.01213","m = 0.04681 
 p = 9.98846","m = 0.18036 
 p = 24.51197","m = 0.14114 
 p = 19.95513","m = 0.17030 
 p = 26.33205","m = 0.01412 
 p = 1.95329","m = 0.06417 
 p = 13.05582","m = 0.03297 
 p = 5.36092","m = 0.05053 
 p = 12.85647","m = 0.07941 
 p = 13.90931","m = 0.03453 
 p = 4.74280","m = 0.01677 
 p = 1.78090"
"PXN","m = 0.08678 
 p = 20.64865","m = 0.06190 
 p = 13.96046","m = 0.09705 
 p = 14.71587","m = 0.21691 
 p = 28.63237","m = 0.25682 
 p = 35.59846","m = 0.02616 
 p = 3.34248","m = 0.08562 
 p = 17.12394","m = 0.07685 
 p = 10.41981","m = 0.05901 
 p = 15.26706","m = 0.11477 
 p = 18.73955","m = 0.13167 
 p = 16.15039","m = 0.10102 
 p = 9.98381"
"ITGB3","m = 0.03794 
 p = 10.99954","m = 0.00201 
 p = 0.62556","m = 0.02995 
 p = 5.06465","m = 0.01088 
 p = 1.79917","m = 0.03791 
 p = 6.56371","m = 0.01004 
 p = 1.43413","m = 0.02055 
 p = 5.67644","m = 0.00611 
 p = 1.44971","m = 0.01923 
 p = 4.39578","m = 0.01028 
 p = 1.68981","m = 0.00111 
 p = 0.19661","m = 0.00986 
 p = 1.07933"
"PARVB","m = 0.12836 
 p = 27.81904","m = 0.19457 
 p = 36.60584","m = 0.07756 
 p = 12.16254","m = 0.17229 
 p = 23.88198","m = 0.13029 
 p = 20.77220","m = 0.03082 
 p = 3.96394","m = 0.05944 
 p = 13.71807","m = 0.06284 
 p = 8.72848","m = 0.13536 
 p = 29.54152","m = 0.15731 
 p = 24.53039","m = 0.04641 
 p = 6.11107","m = 0.28552 
 p = 26.92930"
"ACTG1","m = 0.30909 
 p = 48.00157","m = 0.36112 
 p = 56.52824","m = 0.28142 
 p = 34.16609","m = 0.75133 
 p = 62.16189","m = 0.30581 
 p = 36.06178","m = 0.37805 
 p = 36.48045","m = 0.51624 
 p = 55.91296","m = 0.26002 
 p = 28.20900","m = 0.10109 
 p = 21.41169","m = 0.42236 
 p = 44.72835","m = 0.55405 
 p = 48.70797","m = 0.03330 
 p = 3.34593"
"ITGAV","m = 0.22591 
 p = 41.63490","m = 0.30771 
 p = 51.23014","m = 0.17918 
 p = 24.59020","m = 0.12723 
 p = 17.04802","m = 0.19913 
 p = 27.41313","m = 0.05451 
 p = 7.15631","m = 0.13751 
 p = 22.42195","m = 0.21722 
 p = 25.61160","m = 0.19558 
 p = 36.80479","m = 0.12475 
 p = 19.77404","m = 0.03833 
 p = 4.93540","m = 0.07098 
 p = 7.06962"
"ITGB5","m = 0.06760 
 p = 16.79118","m = 0.08554 
 p = 18.97751","m = 0.14957 
 p = 21.60009","m = 0.09673 
 p = 13.81088","m = 0.01874 
 p = 3.55212","m = 0.06425 
 p = 7.97855","m = 0.08890 
 p = 16.65090","m = 0.03627 
 p = 6.05557","m = 0.15048 
 p = 31.03829","m = 0.14931 
 p = 22.73364","m = 0.00580 
 p = 0.91485","m = 0.01515 
 p = 1.51106"
"CDC42","m = 0.09208 
 p = 21.29555","m = 0.09172 
 p = 20.10854","m = 0.12017 
 p = 18.07758","m = 0.35385 
 p = 42.63108","m = 0.27813 
 p = 38.30116","m = 0.15727 
 p = 19.47071","m = 0.18986 
 p = 33.77483","m = 0.12818 
 p = 16.49049","m = 0.13255 
 p = 30.50260","m = 0.29944 
 p = 41.69681","m = 0.29060 
 p = 33.72924","m = 0.09204 
 p = 9.17431"
"ACTB","m = 0.53524 
 p = 64.26129","m = 0.45981 
 p = 62.35331","m = 0.38949 
 p = 42.42584","m = 1.00000 
 p = 72.48850","m = 0.54490 
 p = 50.88803","m = 0.55459 
 p = 40.16234","m = 0.66077 
 p = 64.23841","m = 0.35124 
 p = 34.20417","m = 0.18901 
 p = 32.51930","m = 0.85727 
 p = 63.19177","m = 0.92160 
 p = 61.74063","m = 0.06683 
 p = 6.69185"
"ILK","m = 0.12064 
 p = 25.79774","m = 0.12946 
 p = 26.25557","m = 0.09076 
 p = 13.35627","m = 0.14922 
 p = 21.25090","m = 0.09693 
 p = 15.75290","m = 0.18319 
 p = 22.08178","m = 0.07839 
 p = 17.78619","m = 0.10855 
 p = 14.10450","m = 0.07034 
 p = 17.70915","m = 0.08478 
 p = 14.80963","m = 0.07436 
 p = 9.85073","m = 0.05685 
 p = 5.61252"
"PIK3R1","m = 0.30913 
 p = 47.50278","m = 0.49689 
 p = 64.53883","m = 0.31223 
 p = 37.09174","m = 0.05062 
 p = 7.60960","m = 0.12266 
 p = 18.61004","m = 0.08422 
 p = 9.97772","m = 0.18339 
 p = 26.77389","m = 0.42994 
 p = 43.38568","m = 0.47116 
 p = 60.81613","m = 0.30447 
 p = 39.24280","m = 0.34333 
 p = 35.75556","m = 0.30675 
 p = 28.54830"
"PIK3CA","m = 0.11474 
 p = 25.77378","m = 0.09434 
 p = 20.53170","m = 0.16031 
 p = 22.55043","m = 0.09438 
 p = 13.47249","m = 0.15436 
 p = 22.77992","m = 0.14381 
 p = 16.33953","m = 0.11455 
 p = 20.15137","m = 0.11807 
 p = 15.56931","m = 0.18594 
 p = 37.56105","m = 0.13884 
 p = 21.69331","m = 0.09381 
 p = 11.09462","m = 0.23023 
 p = 21.91042"
"ITGB1","m = 0.30325 
 p = 50.97689","m = 0.26216 
 p = 46.12973","m = 0.28074 
 p = 36.46590","m = 0.45141 
 p = 50.56918","m = 0.39572 
 p = 47.95367","m = 0.47955 
 p = 47.29571","m = 0.22729 
 p = 37.08609","m = 0.27285 
 p = 31.69737","m = 0.30519 
 p = 52.85962","m = 0.21394 
 p = 33.63474","m = 0.21863 
 p = 26.04927","m = 0.05418 
 p = 5.72045"
"TLN1","m = 0.08132 
 p = 20.19777","m = 0.05210 
 p = 12.30559","m = 0.08529 
 p = 14.22694","m = 0.10825 
 p = 16.63891","m = 0.13594 
 p = 22.39382","m = 0.13833 
 p = 17.55567","m = 0.09778 
 p = 21.85430","m = 0.10423 
 p = 13.98369","m = 0.09577 
 p = 23.05026","m = 0.16646 
 p = 27.74472","m = 0.12747 
 p = 16.60380","m = 0.04589 
 p = 4.58716"
"PTK2","m = 0.39484 
 p = 59.16883","m = 0.36836 
 p = 58.34933","m = 0.43085 
 p = 49.79465","m = 0.32177 
 p = 35.01844","m = 0.43933 
 p = 51.19691","m = 0.44775 
 p = 45.22674","m = 0.35939 
 p = 45.03311","m = 0.50997 
 p = 50.43793","m = 0.40942 
 p = 62.42319","m = 0.22625 
 p = 30.25901","m = 0.02382 
 p = 2.89303","m = 0.26053 
 p = 24.44684"
