#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SQSTM1	UBC	9606.ENSP00000374455	9606.ENSP00000441543	0	0.619	0.900	0	0.960
TAX1BP1	TBK1	9606.ENSP00000379612	9606.ENSP00000329967	0	0.457	0.500	0	0.716
TBC1D15	TBC1D17	9606.ENSP00000448182	9606.ENSP00000221543	0	0.597	0.900	0	0.957
TBK1	TRAF2	9606.ENSP00000329967	9606.ENSP00000247668	0	0.734	0.500	0	0.861
TFE3	TFEB	9606.ENSP00000314129	9606.ENSP00000351742	0	0.671	0.800	0	0.931
TOMM20	USP30	9606.ENSP00000355566	9606.ENSP00000257548	0	0.457	0.500	0	0.716
TOMM20	TOMM70	9606.ENSP00000355566	9606.ENSP00000284320	0	0.644	0.800	0	0.925
TOMM20	TOMM7	9606.ENSP00000355566	9606.ENSP00000351214	0	0.524	0.800	0	0.900
TOMM20	TOMM40	9606.ENSP00000355566	9606.ENSP00000410339	0	0.510	0.800	0	0.897
TOMM40	TOMM70	9606.ENSP00000410339	9606.ENSP00000284320	0	0.464	0.800	0	0.888
TOMM40	TOMM7	9606.ENSP00000410339	9606.ENSP00000351214	0	0.970	0.800	0	0.993
TOMM40	TOMM40L	9606.ENSP00000410339	9606.ENSP00000356967	0	0	0.900	0	0.900
TOMM40L	TOMM7	9606.ENSP00000356967	9606.ENSP00000351214	0	0.742	0.540	0	0.876
TOMM7	TOMM70	9606.ENSP00000351214	9606.ENSP00000284320	0	0.581	0.800	0	0.912
TRAF2	UBC	9606.ENSP00000247668	9606.ENSP00000441543	0	0.475	0.500	0	0.726
UBA52	USP30	9606.ENSP00000388107	9606.ENSP00000257548	0	0.933	0	0	0.933
UBA52	USP15	9606.ENSP00000388107	9606.ENSP00000280377	0	0.800	0.500	0	0.895
UBA52	VCP	9606.ENSP00000388107	9606.ENSP00000351777	0	0.471	0.500	0	0.724
UBA52	USP8	9606.ENSP00000388107	9606.ENSP00000379721	0	0.900	0.500	0	0.947
UBA52	UBB	9606.ENSP00000388107	9606.ENSP00000478771	0	0.948	0.900	0	0.994
UBA52	UBC	9606.ENSP00000388107	9606.ENSP00000441543	0	0.969	0.900	0	0.996
UBB	USP30	9606.ENSP00000478771	9606.ENSP00000257548	0	0.952	0	0	0.952
UBB	USP15	9606.ENSP00000478771	9606.ENSP00000280377	0	0.800	0.500	0	0.895
UBB	VCP	9606.ENSP00000478771	9606.ENSP00000351777	0	0.436	0.500	0	0.706
UBB	USP8	9606.ENSP00000478771	9606.ENSP00000379721	0	0.900	0.500	0	0.947
UBB	UBC	9606.ENSP00000478771	9606.ENSP00000441543	0	0.900	0.900	0	0.989
UBC	USP30	9606.ENSP00000441543	9606.ENSP00000257548	0	0.949	0	0	0.949
UBC	USP15	9606.ENSP00000441543	9606.ENSP00000280377	0	0.886	0.500	0	0.940
UBC	VCP	9606.ENSP00000441543	9606.ENSP00000351777	0	0.614	0.500	0	0.798
UBC	USP8	9606.ENSP00000441543	9606.ENSP00000379721	0	0.960	0.500	0	0.979
